cid,text,time,author,channel,votes,photo,heart,video_id
Ugwg-WhqKmZ6qxz5opp4AaABAg,"your not evening screaming, your just making some raspy noise in your throat.",قبل 11 سنة,AvoidingtheQuestion,UCGT2aruoruPN4vCHOAbQYJw,0,,False,ks-eAAEXnNU
UggLXI6ZBTRq-HgCoAEC,How do you get a skin on luncher team extream 1.8.1 ?,قبل 7 سنوات,iiZeex,UCf6fi8_eyp92_Yli8LuFcqg,0,,False,-IBoKsjMeHw
UgjoomrAr9z-ZngCoAEC,Real corruption,قبل 5 سنوات,Stefano Cinquegrana,UCkpEFOsa83lPqxU-JSMakrA,0,,False,UuJtngplkb4
UgiyyLjlOZny93gCoAEC,"""Valls [...] a de l'humour""

Je veux la même drogue qu'elle.",قبل 8 سنوات,J H,UC3nqycNrF6BkssT-DsOpDMA,10,,False,H6LkP_0y_wI
UghhJj8LOderv3gCoAEC,"菜总统震怒了！！f16已经挂好雄风直扑三峡大坝，百万诈骗大军即将挥师北上，时代力量已经开始选拔青年军。。。。
强国人瑟瑟发抖中",قبل 4 سنوات,Yanjiang Yu,UCTMEb8UXft58x6oswLonfhQ,0,,False,5usUPdArMms
UgzIYLf5nFClQJ_WQCZ4AaABAg,Please do a proper cover for this! You would do a sick job.,قبل 10 سنوات,Kazim Rizvi,UC3I217Grz6vVUOud7PHi_4g,0,,False,aLeCpiVCxxg
Ugwe95UruSqUD4-F-SF4AaABAg,テンパリ過ぎ(-_-;),قبل 9 سنوات,みきお,UCMqqF7Rt064OT4TGtZNlsCg,0,,False,OV3J2ArD8vI
Ugzw2kq-dkqB9l9F6vJ4AaABAg,"Can we call this a ""damage control"" press conference.... we love our military personnels .... we love you so much....",قبل 4 سنوات,FromTheNorth From The North,UCCGp-3rZ1c11BdM7pIX8D2Q,10,,False,nSQcaez_c-E
UgibHVc3tJuAD3gCoAEC,骗钱的家伙。。。。,قبل 5 سنوات,bobby chan,UCj47m7UL9T9mr2108tmiE-g,0,,False,BieZXxZYasI
UgxBRKkcYszuP77XvL14AaABAg,'copywrighted',قبل سنتين,Father Figure,UCq3EVrUdOb107-v-S1Ivhlw,1,,False,ZipYoTLSR00
UggTD5IlQJA0CXgCoAEC,سلام الله عليه,قبل 5 سنوات,hamzah mohd,UCKdXrVpIloItCibtYSwDDuA,0,,False,9h32vo6B3b4
